"Package";"Item";"Title"
"datasets";"USJudgeRatings";"Lawyers' Ratings of State Judges in the US Superior Court"
"datasets";"USPersonalExpenditure";"Personal Expenditure Data"
"datasets";"UScitiesD";"Distances Between European Cities and Between US Cities"
"datasets";"VADeaths";"Death Rates in Virginia (1940)"
"datasets";"WWWusage";"Internet Usage per Minute"
"datasets";"WorldPhones";"The World's Telephones"
"datasets";"ability.cov";"Ability and Intelligence Tests"
"datasets";"airmiles";"Passenger Miles on Commercial US Airlines, 1937-1960"
"datasets";"airquality";"New York Air Quality Measurements"
"datasets";"anscombe";"Anscombe's Quartet of 'Identical' Simple Linear Regressions"
"datasets";"attenu";"The Joyner-Boore Attenuation Data"
"datasets";"attitude";"The Chatterjee-Price Attitude Data"
"datasets";"austres";"Quarterly Time Series of the Number of Australian Residents"
"datasets";"beaver1 (beavers)";"Body Temperature Series of Two Beavers"
"datasets";"beaver2 (beavers)";"Body Temperature Series of Two Beavers"
"datasets";"cars";"Speed and Stopping Distances of Cars"
"datasets";"chickwts";"Chicken Weights by Feed Type"
"datasets";"co2";"Mauna Loa Atmospheric CO2 Concentration"
"datasets";"crimtab";"Student's 3000 Criminals Data"
"datasets";"discoveries";"Yearly Numbers of Important Discoveries"
"datasets";"esoph";"Smoking, Alcohol and (O)esophageal Cancer"
"datasets";"euro";"Conversion Rates of Euro Currencies"
"datasets";"euro.cross (euro)";"Conversion Rates of Euro Currencies"
"datasets";"eurodist";"Distances Between European Cities and Between US Cities"
"datasets";"faithful";"Old Faithful Geyser Data"
"datasets";"fdeaths (UKLungDeaths)";"Monthly Deaths from Lung Diseases in the UK"
"datasets";"freeny";"Freeny's Revenue Data"
"datasets";"freeny.x (freeny)";"Freeny's Revenue Data"
"datasets";"freeny.y (freeny)";"Freeny's Revenue Data"
"datasets";"infert";"Infertility after Spontaneous and Induced Abortion"
"datasets";"iris";"Edgar Anderson's Iris Data"
"datasets";"iris3";"Edgar Anderson's Iris Data"
"datasets";"islands";"Areas of the World's Major Landmasses"
"datasets";"ldeaths (UKLungDeaths)";"Monthly Deaths from Lung Diseases in the UK"
"datasets";"lh";"Luteinizing Hormone in Blood Samples"
"datasets";"longley";"Longley's Economic Regression Data"
"datasets";"lynx";"Annual Canadian Lynx trappings 1821-1934"
"datasets";"mdeaths (UKLungDeaths)";"Monthly Deaths from Lung Diseases in the UK"
"datasets";"morley";"Michelson Speed of Light Data"
"datasets";"mtcars";"Motor Trend Car Road Tests"
"datasets";"nhtemp";"Average Yearly Temperatures in New Haven"
"datasets";"nottem";"Average Monthly Temperatures at Nottingham, 1920-1939"
"datasets";"npk";"Classical N, P, K Factorial Experiment"
"datasets";"occupationalStatus";"Occupational Status of Fathers and their Sons"
"datasets";"precip";"Annual Precipitation in US Cities"
"datasets";"presidents";"Quarterly Approval Ratings of US Presidents"
"datasets";"pressure";"Vapor Pressure of Mercury as a Function of Temperature"
"datasets";"quakes";"Locations of Earthquakes off Fiji"
"datasets";"randu";"Random Numbers from Congruential Generator RANDU"
"datasets";"rivers";"Lengths of Major North American Rivers"
"datasets";"rock";"Measurements on Petroleum Rock Samples"
"datasets";"sleep";"Student's Sleep Data"
"datasets";"stack.loss (stackloss)";"Brownlee's Stack Loss Plant Data"
"datasets";"stack.x (stackloss)";"Brownlee's Stack Loss Plant Data"
"datasets";"stackloss";"Brownlee's Stack Loss Plant Data"
"datasets";"state.abb (state)";"US State Facts and Figures"
"datasets";"state.area (state)";"US State Facts and Figures"
"datasets";"state.center (state)";"US State Facts and Figures"
"datasets";"state.division (state)";"US State Facts and Figures"
"datasets";"state.name (state)";"US State Facts and Figures"
"datasets";"state.region (state)";"US State Facts and Figures"
"datasets";"state.x77 (state)";"US State Facts and Figures"
"datasets";"sunspot.month";"Monthly Sunspot Data, from 1749 to \"Present\""
"datasets";"sunspot.year";"Yearly Sunspot Data, 1700-1988"
"datasets";"sunspots";"Monthly Sunspot Numbers, 1749-1983"
"datasets";"swiss";"Swiss Fertility and Socioeconomic Indicators (1888) Data"
"datasets";"treering";"Yearly Treering Data, -6000-1979"
"datasets";"trees";"Girth, Height and Volume for Black Cherry Trees"
"datasets";"uspop";"Populations Recorded by the US Census"
"datasets";"volcano";"Topographic Information on Auckland's Maunga Whau Volcano"
"datasets";"warpbreaks";"The Number of Breaks in Yarn during Weaving"
"datasets";"women";"Average Heights and Weights for American Women"
"A3";"housing";"Boston Housing Prices"
"A3";"multifunctionality";"Ecosystem Multifunctionality"
"abc.data";"models (human)";"A set of R objects containing observed data from three human populations, and simulated data under three different demographic models. The data set is used to illustrate model selection and parameter inference in an ABC framework (see the vignette of the 'abc' package for more details)."
"abc.data";"par.italy.sim (human)";"A set of R objects containing observed data from three human populations, and simulated data under three different demographic models. The data set is used to illustrate model selection and parameter inference in an ABC framework (see the vignette of the 'abc' package for more details)."
"abc.data";"par.sim (musigma2)";"A set of objects used to estimate the population mean and variance in a Gaussian model with ABC (see the vignette of the 'abc' package for more details)."
"abc.data";"post.bott (ppc)";"Data to illustrate the posterior predictive checks for the data 'human'. 'ppc' and 'human' are used to illustrate model selection and parameter inference in an ABC framework (see the vignette of the 'abc' package for more details)."
"abc.data";"post.mu (musigma2)";"A set of objects used to estimate the population mean and variance in a Gaussian model with ABC (see the vignette of the 'abc' package for more details)."
"abc.data";"post.sigma2 (musigma2)";"A set of objects used to estimate the population mean and variance in a Gaussian model with ABC (see the vignette of the 'abc' package for more details)."
"abc.data";"stat.3pops.sim (human)";"A set of R objects containing observed data from three human populations, and simulated data under three different demographic models. The data set is used to illustrate model selection and parameter inference in an ABC framework (see the vignette of the 'abc' package for more details)."
"abc.data";"stat.obs (musigma2)";"A set of objects used to estimate the population mean and variance in a Gaussian model with ABC (see the vignette of the 'abc' package for more details)."
"abc.data";"stat.sim (musigma2)";"A set of objects used to estimate the population mean and variance in a Gaussian model with ABC (see the vignette of the 'abc' package for more details)."
"abc.data";"stat.voight (human)";"A set of R objects containing observed data from three human populations, and simulated data under three different demographic models. The data set is used to illustrate model selection and parameter inference in an ABC framework (see the vignette of the 'abc' package for more details)."
"ABC.RAP";"annotation_file";"annotation file for the 450k probes"
"ABC.RAP";"nonspecific_probes";"450k DNA methylation non specific probes"
"ABC.RAP";"test_data";"test dataset of 450k DNA methylation"
"ABCanalysis";"SwissInhabitants";"SwissInhabitants in 1900"
"abcdeFBA";"Ec_iAF1260_flux1";"E.coli model 1260 ORF's"
"abcdeFBA";"Ec_iAF1260_flux2";"E.coli model 1260 ORF's"
"abcdeFBA";"Ec_iJR904";"E.coli model 904 ORF's"
"abcdeFBA";"Ecoli_core";"E.coli core model 72 reactions and 95 metabolites"
"abcdeFBA";"H_pylori_iIT341";"Helicobacter pylori by Ines Thiele"
"abcdeFBA";"H_sapien_Recon1";"H. sapien Recon1, human metabolic network reconstruction"
"abcdeFBA";"M_barkeri_iAF629";"Genome scale metabolic model for the archaeal methanogen M. Barkeri"
"abcdeFBA";"M_tb_iNJ661";"M. tuberculosis model iNJ661"
"abcdeFBA";"S_aureus_iSB619";"Staphylococcus aureus model iSB619 by S.Becker"
"abcdeFBA";"S_cerevisiae_IND750";"Saccharomyces Cerevisiae iND750"
"ABCp2";"fungus";"Sperm Precedence Data from the Fungus Beetle"
"ABCp2";"newt";"Sperm Precedence Data from the Rough-Skinned Newt"
"ABCp2";"rove";"Sperm Precedence Data from the Rove Beetle"
"ABCp2";"soap";"Sperm Precedence Data from the Soapberry Bug"
"abcrf";"snp";"A simulated example in population genetics"
"abcrf";"snp.obs";"A simulated example in population genetics"
"abctools";"coal";"Examples of coalescent data"
"abctools";"coalobs";"Examples of coalescent data"
"abd";"AlgaeCO2";"Carbon Dioxide and Growth Rate in Algae"
"abd";"Antilles";"Antilles Bird Immigration Dates"
"abd";"Aspirin";"Effects of Aspirin on Cancer Rates"
"abd";"BeeGenes";"Foraging Gene Expression"
"abd";"BeeLifespans";"Bee Lifespans"
"abd";"Beetles";"Beetle Wings and Horns"
"abd";"BirdSexRatio";"Sex Ratios in Birds"
"abd";"Blackbirds";"Testosterone Levels in Blackbirds"
"abd";"BodyFatHeatLoss";"Heat Loss and Body Fat"
"abd";"BrainExpression";"Proteolipid Protein 1 Gene Expression"
"abd";"BrookTrout";"Salmon Survival in the Presence of Brook Trout"
"abd";"BrookTrout2";"Salmon Survival in the Presence of Brook Trout"
"abd";"Cavalry";"Deaths from Horse Kicks"
"abd";"Chickadees";"Alarm Calls in Chickadees"
"abd";"ChimpBrains";"Brodmann's Area 44 in Chimps"
"abd";"Cichlids";"Cichlid Mating Preference"
"abd";"CichlidsGnRH";"GnRH Levels in Cichlids"
"abd";"Clearcuts";"Biomass Change in Rainforests near Clearcuts"
"abd";"CocaineDopamine";"Effects of Cocaine on Dopamine Receptors"
"abd";"Convictions";"Frequency of Convictions for a Cohort of English Boys"
"abd";"ConvictionsAndIncome";"Convictions and Income Level in a Cohort of English Boys"
"abd";"Crickets";"Immunity and Sperm Viability in Crickets"
"abd";"DEET";"DEET and Mosquito Bites"
"abd";"DaphniaLongevity";"Daphnia Longevity"
"abd";"DaphniaResistance";"Daphnia Resistance to Cyanobacteria"
"abd";"DayOfBirth";"Day of Birth"
"abd";"DesertBirds";"Desert Bird Census Data"
"abd";"Dioecy";"Dioecy vs. Monomorphism in Plants"
"abd";"Dolphins";"Dolphin Swimming Behavior"
"abd";"DungBeetles";"Heritability of Body Condition in Dung Beetles"
"abd";"Earthworms";"Earthworm Diversity and Soil Nitrogen Levels"
"abd";"Earwigs";"Earwig Density and Forceps"
"abd";"Eelgrass";"Eelgrass Genotypes"
"abd";"ElVerde";"Diet Breadth in a Rainforest Community"
"abd";"ElectricFish";"Electric Fish"
"abd";"EndangeredSpecies";"Endangered and Threatened Species"
"abd";"FingerRatio";"2D:4D Finger Ratio"
"abd";"Fireflies";"Spermatophore Mass in Fireflies"
"abd";"FireflyFlash";"Firefly Flash Duration"
"abd";"FlyTestes";"Testes Size in Flies"
"abd";"FlycatcherPatch";"Forehead Patch Size in Collared Flycatachers"
"abd";"GeneRegulation";"Gene Regulation in Saccharomyces"
"abd";"GlidingSnakes";"GlidingSnakes"
"abd";"GodwitArrival";"Godwit Arrival Dates"
"abd";"Grassland";"Grassland Diversity"
"abd";"GreatTitMalaria";"Malaria in Populations of Great Tit"
"abd";"Greenspace";"Diversity in Urban Green Space"
"abd";"Guppies";"Ornamentation and Attractiveness in Guppies"
"abd";"Hemoglobin";"Hemoglobin Levels in High Altitude Populations"
"abd";"HippocampusLesions";"Memory and the Hippocampus"
"abd";"HornedLizards";"Horn Length and Predation Status of Horned Lizards"
"abd";"HumanBodyTemp";"Human Body Temperature"
"abd";"HumanGeneLengths";"Human Gene Lengths"
"abd";"Hurricanes";"Intense Hurricanes"
"abd";"Iguanas";"Iguana Body Length Changes"
"abd";"IntertidalAlgae";"Intertidal Algae"
"abd";"JetLagKnees";"Circadian Rhythm Phase Shift"
"abd";"KenyaFinches";"Body Mass and Beak Length in Three Species of Finches in Kenya"
"abd";"LanguageBrains";"Brain Structure in Bilingual Humans"
"abd";"LarvalFish";"Exploited Larval Fish"
"abd";"Lefthanded";"Left-handedness and Rates of Violence"
"abd";"LionCubs";"Time to Reproduction in Female Lions"
"abd";"LionNoses";"Lion Age and Nose Coloration"
"abd";"LiverPreparation";"Liver Preparation"
"abd";"LizardBite";"Bite Force in Collard Lizards"
"abd";"LizardSprint";"Sprint Speeds in Canyon Lizards"
"abd";"Lobsters";"Lobster Orientation"
"abd";"LodgepolePines";"Lodgepole Pine Cone Masses"
"abd";"LupusMice";"Autoimmune Reactivity in Lupus-prone Mice"
"abd";"Lynx";"Population Cycles of Lynx in Canada 1752-1819"
"abd";"MarineReserve";"Marine Reserve Biomass"
"abd";"MassExtinctions";"Mass Extinction Frequency"
"abd";"MoleRats";"Energy Expenditure in Mole Rats"
"abd";"Mosquitoes";"Body Size in Anopheles Mosquitoes"
"abd";"MouseEmpathy";"Mouse Empathy"
"abd";"NeanderthalBrains";"Cranial Capacity in Neanderthals and Modern Humans"
"abd";"NematodeLifespan";"Effects of Trimethadione on Lifespan in Nematodes"
"abd";"NeotropicalTrees";"Photosynthesis in Neotropical Trees"
"abd";"Newts";"Tetrodotoxin Resistance in Garter Snakes"
"abd";"NoSmokingDay";"No Smoking Day"
"abd";"NorthSeaCod";"Atlantic Cod Recruits"
"abd";"OstrichTemp";"Ostrich Body and Brain Temperatures"
"abd";"Penguins";"Penguin Heart Rate"
"abd";"PlantPersistence";"Population Persistence Times"
"abd";"Pollen";"Sterility in Hybrid Pollens"
"abd";"Powerball";"Powerball Tickets Sold"
"abd";"PrimateMetabolism";"Primate Metabolic Rates"
"abd";"PrimateWBC";"Primate White Blood Cell Counts and Promiscuity"
"abd";"ProgesteroneExercise";"Progesterone and Exercise"
"abd";"Pseudoscorpions";"Multiple Mating in Pseudoscorpions"
"abd";"Pufferfish";"Pufferfish Mimicry"
"abd";"Rattlesnakes";"Temperature Change and Meal Size in Rattlesnakes"
"abd";"Rigormortis";"Rigormortis and Time of Death"
"abd";"RopeTrick";"Indian Rope Trick"
"abd";"SagebrushCrickets";"Sagebrush Cricket Mating Times"
"abd";"SalmonColor";"Pacific Salmon Color"
"abd";"Seedlings";"Number of Seedlings Per Quadrat"
"abd";"Selection";"Data for Meta-analysis"
"abd";"SexualSelection";"Sexual Conflict"
"abd";"ShadParasites";"Shad Parasites"
"abd";"ShrinkingSeals";"Seal Body Lengths and Age"
"abd";"ShuttleDisaster";"Ambient Temperature and O-Ring Failures"
"abd";"Silversword";"Rate of Speciation in Silverswords"
"abd";"SleepAndPerformance";"Sleep and Learning"
"abd";"SockeyeFemales";"Body Masses of Female Sockeye Salmon"
"abd";"Sparrows";"Lifetime Reproductive Success in House Sparrows"
"abd";"SpiderColonies";"Social Spiders"
"abd";"SpiderSpeed";"Spider Running Speeds after Amputation"
"abd";"Stalkies1";"Eye Widths in Stalk-Eyed Flies"
"abd";"Stalkies2";"Stalk-eyed Fly Eyespan"
"abd";"SticklebackPlates";"Number of Lateral Plates in Sticklebacks"
"abd";"SticklebackPreference";"Mating Preferences in Sticklebacks"
"abd";"Sumo";"Sumo Wrestling Wins"
"abd";"SyrupSwimming";"Syrup Swimming"
"abd";"TeenDeaths";"Causes of Teenage Deaths"
"abd";"Telomeres";"Telomere Shortening"
"abd";"TimeOfDeath";"Hypoxanthine and Time Since Death"
"abd";"Toads";"Right-handed Toads"
"abd";"Tobacco";"Flower Length in Tobacco Plants"
"abd";"Tobacco2";"Flower Length in Tobacco Plants"
"abd";"ToothAge";"Radioactive Teeth"
"abd";"TreeSeedlings";"Tree Seedlings and Sunflecks"
"abd";"Trematodes";"Frequencies of Fish Eaten by Trematode Infection Level"
"abd";"Trillium";"Trillium Recruitment near Clearcuts"
"abd";"Truffles";"Truffle Distribution"
"abd";"TsetseLearning";"Dietary Learning in Tsetse Flies"
"abd";"TwoKids";"Number of Boys in Two-Child Families"
"abd";"VampireBites";"Vampire Bat Bites"
"abd";"VasopressinVoles";"Vasopressin Manipulation in the Meadow Vole"
"abd";"Vines";"Climbing Vines"
"abd";"VoleDispersal";"Home Range Size in Field Voles"
"abd";"WalkingStickFemurs";"Walking Stick Femur Length"
"abd";"WalkingStickHeads";"Walking Stick Head Width"
"abd";"WeddellSeals";"Energetic Cost of Diving"
"abd";"WillsDebates";"Presidential \"Wills\""
"abd";"WillsPresidents";"Presidential \"Wills\""
"abd";"WolfTeeth";"Wolf Tooth Measurements"
"abd";"Wolves";"Inbreeding in Wolves"
"abd";"WorldCup";"World Cup Goals"
"abd";"WrasseSexes";"Distribution of Wrasses"
"abd";"YeastGenes";"Yeast Regulatory Genes"
"abd";"ZebraFinchBeaks";"Mate Preference in Zebra Finches"
"abd";"ZebraFinches";"Zebra Finch Carotenoids"
"abd";"ZooMortality";"Home Range Size and Mortality"
"abd";"Zooplankton";"Zooplankton Depredation"
"abd";"dataInfo";"'abd' Data Sets"
"abn";"ex0.dag.data (ex0data)";"Synthetic validation data set for use with abn library examples"
"abn";"ex1.dag.data (ex1data)";"Synthetic validation data set for use with abn library examples"
"abn";"ex2.dag.data (ex2data)";"Synthetic validation data set for use with abn library examples"
"abn";"ex3.dag.data (ex3data)";"Validation data set for use with abn library examples"
"abn";"ex4.dag.data (ex4data)";"Valdiation data set for use with abn library examples"
"abn";"ex5.dag.data (ex5data)";"Valdiation data set for use with abn library examples"
"abn";"ex6.dag.data (ex6data)";"Valdiation data set for use with abn library examples"
"abn";"ex7.dag.data (ex7data)";"Valdiation data set for use with abn library examples"
"abn";"pigs.vienna";"Dataset related to diseases present in 'finishing pigs', animals about to enter the human food chain at an abattoir."
"abn";"var33";"simulated dataset from a DAG comprising of 33 variables"
"AbsFilterGSEA";"example";"Normalized RNA-seq count data"
"acc";"NHANES";"NHANES data"
"accelerometry";"tridata";"Triaxial Sample Data"
"accelerometry";"unidata";"Uniaxial Sample Data"
"accelmissing";"acceldata";"Accelerometer Data Example"
"accelmissing";"acceldata2";"Accelerometer Data Example 2"
"accelmissing";"accelimp";"Accelerometer Data Example with Imputations"
"accrued";"accruedDataExample";"Data set for illustrating accrued data methods"
"accrued";"accruedDataILIExample";"Data set for illustrating accrued data methods"
"ACDm";"adjDurData";"Time Series Data Sets"
"ACDm";"defaultSplineObj";"Time Series Data Sets"
"ACDm";"durData";"Time Series Data Sets"
"ACDm";"transData";"Time Series Data Sets"
"ACEt";"data_ace";"Example data for the ACEt models"
"acid";"dat";"ACID Simulated Data"
"acid";"dist.para.t";"Distributions and their Parameters"
"acid";"params";"Parameter estimators obtained from Structured Additive Distributional Regression"
"acm4r";"experiments.in";"Sample fingerprint file"
"acm4r";"replicates.in";"Sample replicate file"
"acmeR";"altamont";"Placement and Searches for Carcasses at Altamont"
"acp";"polio";"Polio cases in USA from Jan 1970 till Dec 1983"
"aCRM";"Credit";"Credit approval (Frank and Asuncion, 2010)"
"acs";"cpi";"Consumer Price Index data (1913-2015)."
"acs";"fips.american.indian.area";"FIPS codes and geographic names for use in searching and creating geographies in the acs package."
"acs";"fips.county";"FIPS codes and geographic names for use in searching and creating geographies in the acs package."
"acs";"fips.county.subdivision";"FIPS codes and geographic names for use in searching and creating geographies in the acs package."
"acs";"fips.place";"FIPS codes and geographic names for use in searching and creating geographies in the acs package."
"acs";"fips.school";"FIPS codes and geographic names for use in searching and creating geographies in the acs package."
"acs";"fips.state";"FIPS codes and geographic names for use in searching and creating geographies in the acs package."
"acs";"kansas07";"County-level data from the 2007 American Community Survey for Kansas for use in examples of acs package."
"acs";"kansas09";"County-level data from the 2005-2009 American Community Survey for Kansas for use in examples of acs package."
"acs";"lawrence10";"Tract-level data from the 2006-2010 American Community Survey for Lawrence, MA for use in examples of acs package."
"ACSNMineR";"ACSN_maps";"Atlas of Cancer Signalling Networks"
"ACSNMineR";"enrichment_test";"Result from enrichment test of \"genes_test\" on the ACSN maps"
"ACSNMineR";"genes_test";"Set of genes to test map"
"acss";"exp1";"Data from Experiment 1 in Gauvrit, Singmann, Soler-Toscano & Zenil"
"acss";"exp2";"Data from Experiment 2 in Gauvrit, Singmann, Soler-Toscano & Zenil"
"acss";"matthews2013";"Data from Experiment 1 in Matthews (2013)"
"ACSWR";"Disease";"Disease Outbreak Study"
"ACSWR";"Mucociliary";"Mucociliary Clearance"
"ACSWR";"SP";"Understanding Strength of Paper with a Three Factorial Experiment"
"ACSWR";"abrasion_index";"Abrasion Index for the Tire Tread"
"ACSWR";"adjectives";"A Dataset for Factor Analysis"
"ACSWR";"atombomb";"Japanese atomic bomb survivors"
"ACSWR";"battery";"Two Factorial Experiment for Battery Data"
"ACSWR";"bottling";"A Three Factorial Experiment for Bottling Data"
"ACSWR";"bs";"Simulated Sample from Binomial Distribution"
"ACSWR";"bs1";"British Doctors Smoking and Coronary Heart Disease"
"ACSWR";"caesareans";"The Cesarean Cases"
"ACSWR";"calcium";"The Calcium in Soil"
"ACSWR";"cardata";"Car Data"
"ACSWR";"chdage";"Coronary Heart Disease"
"ACSWR";"chemicaldata";"Chemical Reaction Experiment"
"ACSWR";"chest";"The Militiamen's Chest Dataset"
"ACSWR";"cloud";"The Cloud Seeding Data"
"ACSWR";"cork";"The Cork Dataset"
"ACSWR";"cs";"Random Samples from Cauchy Distribution"
"ACSWR";"depression";"The Hamilton Depression Scale Factor"
"ACSWR";"flight";"Injuries in Airflights"
"ACSWR";"girder";"Strength Data Set of a Girder Experiment"
"ACSWR";"hardness";"Hardness and a Block Experiment"
"ACSWR";"hearing";"Hearing Loss Data"
"ACSWR";"hw";"Height-Weight Covariance Study"
"ACSWR";"insurance";"Insurance Claims Data"
"ACSWR";"intensity";"Blocking for Intensity Data Set"
"ACSWR";"life";"Life Expectancies"
"ACSWR";"lowbwt";"The Low-Birth Weight Problem"
"ACSWR";"memory";"Memory Recall Times"
"ACSWR";"mfp";"Psychological Tests for Males and Females"
"ACSWR";"nerve";"The Nerve Data"
"ACSWR";"ns";"Simulated Sample from Normal Distribution"
"ACSWR";"olson";"The Olson Heart Lung Dataset"
"ACSWR";"ps";"Simulated Sample from Poisson Distribution"
"ACSWR";"pw";"The Linguistic Probe Word Analysis"
"ACSWR";"reaction";"Chemical Reaction Experiment"
"ACSWR";"rocket";"Rocket Propellant"
"ACSWR";"rocket_Graeco";"Rocket Propellant Example Extended"
"ACSWR";"rootstock";"Apple of Different Rootstock"
"ACSWR";"sample";"Simulated Dataset"
"ACSWR";"sheishu";"The Seishu Wine Study"
"ACSWR";"shelf_stock";"The Shelf-Stocking Data"
"ACSWR";"somesamples";"Scatter Plots for Understanding Correlations"
"ACSWR";"stiff";"The Board Stiffness Dataset"
"ACSWR";"swiss";"Forged Swiss Bank Notes"
"ACSWR";"tc";"The Toluca Company Labour Hours against Lot Size"
"ACSWR";"tensile";"The Tensile Strength Experiment"
"ACSWR";"testtpm";"A transition probability matrix"
"ACSWR";"testtpm2";"A matrix of transition probability matrix, second example"
"ACSWR";"testtpm3";"A matrix of transition probability matrix, third example"
"ACSWR";"usc";"US Crime Data"
"ACSWR";"viscos";"The Box-Cox Transformation for Viscosity Dataset"
"ACSWR";"waterquality";"Testing for Physico-chemical Properties of Water in 4 Cities"
"ACSWR";"x_bimodal";"Understanding kernel smoothing through a simulated dataset"
"ACSWR";"yb";"Youden and Beale's Data on Lesions of Half-Leaves of Tobacco Plant"
"ACTCD";"perm3";"The partial orders of the attribute patterns for 'labeling'"
"ACTCD";"perm4";"The partial orders of the attribute patterns for 'labeling'"
"ACTCD";"sim.Q";"A complete Q-matrix used to generate 'sim.dat'."
"ACTCD";"sim.dat";"Simulated data"
"Actigraphy";"act_29pt";"Data Set Containing a One Day Average of Actigraph Data for 29 Subjects"
"Actigraphy";"act_8pt";"Data Set Containing a One Day Average of Actigraph Data for 8 Subjects"
"Actigraphy";"clinic_29pt_ahi";"Data Set Containing AHI(Apnea Hypopnea Index) Information from 29 Subjects"
"Actigraphy";"clinic_29pt_bmi";"Data Set Containing BMI(Body Mass Index) Information from 29 Subjects"
"Actigraphy";"clinic_8pt";"Data Set Containing AHI(Apnea Hypopnea Index) Information from 8 Subjects"
"Actigraphy";"weekday";"Data Set Containing Five Weekdays of Actigraph Data for One Subject"
"activity";"BCIspeed";"Animal speed data"
"activity";"BCItime";"Animal record time of day data"
"activpalProcessing";"PhysicalActivityIntervention_7_1";"Example AP Events File"
"activpalProcessing";"PhysicalActivityIntervention_7_2";"Example AP Events File"
"activpalProcessing";"PhysicalActivityIntervention_8_1";"Example AP Events File"
"activpalProcessing";"PhysicalActivityIntervention_8_2";"Example AP Events File"
"activpalProcessing";"events.data";"activpal events data"
"activpalProcessing";"log.bed";"Example of a Bed Log"
"activpalProcessing";"log.on.off";"Example on/off Log"
"activpalProcessing";"log.subjects";"Example Log of Subjects"
"activpalProcessing";"second.by.second.data";"Second-by-second data frame"
"actuar";"dental";"Individual Dental Claims Data Set"
"actuar";"gdental";"Grouped Dental Claims Data Set"
"actuar";"hachemeister";"Hachemeister Data Set"
"ada";"soldat";"Solubility Data"
"AdapEnetClass";"MCLcleaned";"Mantle cell lymphoma cleaned data"
"AdaptFit";"absent";"Absenteeism data"
"adaptsmoFMRI";"data_simfmri (sim_fmri)";"Simulated FMRI Data Set (for one covariate)"
"adaptsmoFMRI";"data_simfmri2COVAR (sim_fmri_2covar)";"Simulated FMRI Data Set (for two covariates)"
"addhaz";"disabData";"Example of disability data"
"addhazard";"nwtsco";"Dataset from the National Wilms Tumor Study (NWTS)"
"additivityTests";"Boik";"Multi-headed Machine Data"
"ADDT";"AdhesiveBondB";"Adhesive Bond B dataset"
"ADDT";"AdhesiveFormulationK";"Adhesive Formulation K Data"
"ADDT";"PolymerY";"Polymeric Material"
"ADDT";"SealStrength";"Data for Seal Strength"
"ade4";"abouheif.eg";"Phylogenies and quantitative traits from Abouheif"
"ade4";"acacia";"Spatial pattern analysis in plant communities"
"ade4";"aminoacyl";"Codon usage"
"ade4";"apis108";"Allelic frequencies in ten honeybees populations at eight microsatellites loci"
"ade4";"aravo";"Distribution of Alpine plants in Aravo (Valloire, France)"
"ade4";"ardeche";"Fauna Table with double (row and column) partitioning"
"ade4";"arrival";"Arrivals at an intensive care unit"
"ade4";"atlas";"Small Ecological Dataset"
"ade4";"atya";"Genetic variability of Cacadors"
"ade4";"avijons";"Bird species distribution"
"ade4";"avimedi";"Fauna Table for Constrained Ordinations"
"ade4";"aviurba";"Ecological Tables Triplet"
"ade4";"bacteria";"Genomes of 43 Bacteria"
"ade4";"banque";"Table of Factors"
"ade4";"baran95";"African Estuary Fishes"
"ade4";"bf88";"Cubic Ecological Data"
"ade4";"bordeaux";"Wine Tasting"
"ade4";"bsetal97";"Ecological and Biological Traits"
